epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.422,1.77884,2.25579,1.49489,0.34903,0.38888,0.1652,0.05592,1.51763,12.5939,1.36263,0.000465256,0.000465256,0.000465256
2,218.054,1.59352,1.26358,1.341,0.57407,0.67106,0.62826,0.29258,1.49633,1.25237,1.34155,0.000922946,0.000922946,0.000922946
3,318.424,1.55089,1.10812,1.32251,0.67534,0.55279,0.60294,0.27128,1.4911,1.07556,1.33239,0.00136177,0.00136177,0.00136177
4,418.325,1.56538,1.0178,1.29942,0.89809,0.78573,0.89585,0.4324,1.54705,0.86787,1.44525,0.00134412,0.00134412,0.00134412
5,518.608,1.52092,0.9491,1.30635,0.86557,0.84565,0.9071,0.52618,1.26909,0.67699,1.19216,0.00131582,0.00131582,0.00131582
6,618.731,1.48552,0.85309,1.27426,0.86664,0.84777,0.87751,0.45357,1.45894,0.69341,1.28238,0.00128753,0.00128753,0.00128753
7,718.517,1.48212,0.84071,1.2499,0.89436,0.82959,0.90928,0.4773,1.30212,0.64728,1.21942,0.00125923,0.00125923,0.00125923
8,818.128,1.4946,0.80376,1.27012,0.85883,0.84223,0.93458,0.53187,1.28664,0.68313,1.20331,0.00123094,0.00123094,0.00123094
9,918.642,1.45071,0.78006,1.24344,0.86174,0.89851,0.92587,0.50937,1.28821,0.59868,1.17631,0.00120265,0.00120265,0.00120265
10,1019.51,1.41997,0.75211,1.23383,0.89335,0.90959,0.94405,0.5702,1.25514,0.56812,1.17208,0.00117435,0.00117435,0.00117435
11,1120.41,1.41169,0.753,1.2105,0.93641,0.8869,0.95277,0.55637,1.29865,0.58236,1.20324,0.00114606,0.00114606,0.00114606
12,1220.98,1.4122,0.74618,1.22984,0.93504,0.89536,0.9477,0.55102,1.27291,0.57856,1.17116,0.00111776,0.00111776,0.00111776
13,1321.41,1.37502,0.70904,1.19688,0.91254,0.91544,0.95165,0.56888,1.24348,0.53468,1.16658,0.00108947,0.00108947,0.00108947
14,1422.64,1.36865,0.68673,1.20222,0.94243,0.85593,0.93855,0.5674,1.25098,0.55631,1.15798,0.00106118,0.00106118,0.00106118
15,1523.38,1.32159,0.65963,1.16281,0.8951,0.90237,0.94237,0.55175,1.28488,0.51745,1.18549,0.00103288,0.00103288,0.00103288
16,1623.48,1.31007,0.6544,1.17404,0.9021,0.92591,0.93832,0.55339,1.22457,0.49377,1.15355,0.00100459,0.00100459,0.00100459
17,1725.18,1.34717,0.66542,1.18807,0.94979,0.91278,0.95389,0.53943,1.30366,0.5188,1.18961,0.000976293,0.000976293,0.000976293
18,1824.89,1.35272,0.66815,1.19349,0.93475,0.93107,0.9538,0.53361,1.30878,0.51985,1.19413,0.000947999,0.000947999,0.000947999
19,1924.95,1.32893,0.66242,1.18101,0.94312,0.90912,0.94962,0.56133,1.28221,0.53187,1.1599,0.000919704,0.000919704,0.000919704
20,2024.59,1.32803,0.65856,1.18578,0.92797,0.896,0.94168,0.55459,1.26199,0.53986,1.15168,0.00089141,0.00089141,0.00089141
21,2124.38,1.28317,0.63047,1.15625,0.94684,0.89929,0.94448,0.57719,1.2476,0.51309,1.15809,0.000863116,0.000863116,0.000863116
22,2224.86,1.29053,0.61992,1.14682,0.94338,0.92829,0.9518,0.56265,1.23425,0.49223,1.1576,0.000834822,0.000834822,0.000834822
23,2325.19,1.30443,0.62525,1.16107,0.94718,0.92921,0.95924,0.58415,1.21331,0.48324,1.14017,0.000806528,0.000806528,0.000806528
24,2425.2,1.24824,0.61895,1.13875,0.9553,0.93014,0.95256,0.51846,1.33354,0.48662,1.19817,0.000778233,0.000778233,0.000778233
25,2525.4,1.25489,0.59725,1.12073,0.93552,0.94298,0.96997,0.59408,1.2189,0.46902,1.14095,0.000749939,0.000749939,0.000749939
26,2625.11,1.26434,0.60102,1.13954,0.95311,0.95352,0.96629,0.60244,1.1986,0.47335,1.12838,0.000721645,0.000721645,0.000721645
27,2724.77,1.22091,0.58042,1.11705,0.94508,0.90623,0.95753,0.56199,1.26833,0.4965,1.16099,0.000693351,0.000693351,0.000693351
28,2824.97,1.22939,0.58368,1.12461,0.91201,0.93874,0.94622,0.58445,1.22862,0.47712,1.14526,0.000665057,0.000665057,0.000665057
29,2927.38,1.19906,0.56094,1.10046,0.91205,0.92923,0.94458,0.57383,1.25152,0.47087,1.15509,0.000636762,0.000636762,0.000636762
30,3027.34,1.1748,0.54213,1.09473,0.90332,0.93976,0.95802,0.6047,1.17481,0.45313,1.12537,0.000608468,0.000608468,0.000608468
31,3127.52,1.19088,0.55221,1.09882,0.94464,0.92373,0.94061,0.56689,1.25775,0.46212,1.16311,0.000580174,0.000580174,0.000580174
32,3227.63,1.19922,0.55332,1.10995,0.92865,0.91673,0.94426,0.56869,1.24022,0.46372,1.144,0.00055188,0.00055188,0.00055188
33,3327.85,1.18978,0.55058,1.09848,0.96426,0.87797,0.9451,0.55097,1.28462,0.476,1.17549,0.000523586,0.000523586,0.000523586
34,3428.26,1.16526,0.53519,1.0887,0.95368,0.91451,0.9353,0.5656,1.24396,0.46572,1.1409,0.000495291,0.000495291,0.000495291
35,3528.1,1.14271,0.52297,1.08234,0.91377,0.91993,0.93912,0.57128,1.19552,0.46106,1.13105,0.000466997,0.000466997,0.000466997
36,3627.28,1.12209,0.51673,1.06517,0.91892,0.93026,0.94481,0.58134,1.2043,0.43724,1.13188,0.000438703,0.000438703,0.000438703
37,3727.11,1.12407,0.5181,1.07628,0.91265,0.92833,0.93973,0.59088,1.20579,0.44144,1.13168,0.000410409,0.000410409,0.000410409
38,3826.81,1.13033,0.51927,1.08514,0.94891,0.90856,0.93192,0.55215,1.29078,0.45875,1.15628,0.000382115,0.000382115,0.000382115
39,3926.85,1.11426,0.51036,1.06383,0.95126,0.92108,0.96959,0.60351,1.18841,0.43709,1.132,0.00035382,0.00035382,0.00035382
40,4026.44,1.10692,0.50442,1.0579,0.9279,0.9023,0.93964,0.59481,1.20595,0.44475,1.13679,0.000325526,0.000325526,0.000325526
41,4123.61,1.07407,0.46854,1.09073,0.9357,0.94025,0.95524,0.57723,1.22127,0.46058,1.14964,0.000297232,0.000297232,0.000297232
42,4220.5,1.05747,0.46182,1.0701,0.94146,0.93363,0.95743,0.57737,1.24321,0.45785,1.16329,0.000268938,0.000268938,0.000268938
43,4317.51,1.03642,0.44631,1.06919,0.93447,0.91935,0.95152,0.57908,1.24417,0.44322,1.16047,0.000240644,0.000240644,0.000240644
44,4414.99,1.02897,0.44813,1.06602,0.95424,0.9552,0.96437,0.58259,1.23389,0.43571,1.14374,0.000212349,0.000212349,0.000212349
45,4512.95,1.01931,0.44348,1.06189,0.93234,0.93755,0.95586,0.58076,1.20563,0.4161,1.1397,0.000184055,0.000184055,0.000184055
46,4610.81,1.00965,0.44029,1.04909,0.92868,0.93107,0.96344,0.57995,1.24281,0.42421,1.16189,0.000155761,0.000155761,0.000155761
47,4708.76,1.00034,0.42663,1.0475,0.90733,0.94994,0.9634,0.59875,1.2035,0.42374,1.14319,0.000127467,0.000127467,0.000127467
48,4806.84,0.99003,0.42798,1.04185,0.91302,0.94386,0.961,0.58425,1.23224,0.43236,1.15296,9.91726e-05,9.91726e-05,9.91726e-05
49,4904.3,0.98356,0.42529,1.04435,0.92742,0.94272,0.96716,0.58192,1.21732,0.43098,1.14922,7.08784e-05,7.08784e-05,7.08784e-05
50,5002.39,0.96784,0.42329,1.02896,0.91642,0.91683,0.95867,0.57983,1.2169,0.42951,1.15012,4.25842e-05,4.25842e-05,4.25842e-05
